what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1296099598407
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1296099598407
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1296099598407
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1296099598407
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1296099598407
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1296099598422
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1296099598422
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1296099598422
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1296099598422
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1296099598422
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1296099598422
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1296099598422
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1296099598422
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1296099598422
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1296099598422
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1296099598422
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1296099598422
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1296099598422
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1296099598422
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1296099598422
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1296099598422
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1296099598422
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1296099598422
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1296099598422
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1296099598422
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1296099598422
os,sysinfo,,,"win32",1296099598438
arch,sysinfo,,,"x86_64",1296099598438
ws,sysinfo,,,"win32",1296099598438
locale,sysinfo,,,"en_NZ",1296099598438
processors,sysinfo,,,"2",1296099598438
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1296099598438
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1296099598438
java.specification.name,sysinfo,,,"Java Platform API Specification",1296099598438
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1296099598438
java.specification.version,sysinfo,,,"1.6",1296099598438
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1296099598438
java.version,sysinfo,,,"1.6.0_22",1296099598438
java.vm.info,sysinfo,,,"mixed mode",1296099598438
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1296099598438
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1296099598438
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1296099598438
java.vm.specification.version,sysinfo,,,"1.0",1296099598438
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1296099598438
java.vm.version,sysinfo,,,"17.1-b03",1296099598438
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1296099599124
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296099599998
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1296099600419
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1296099600591
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1296099600591
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099601464
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099613392
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296099629335
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1296099629460
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099630708
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099631832
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099635749
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099639309
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296099642339
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099644508
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099647303
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296099650502
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099652561
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099654106
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296099657024
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099659364
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099661160
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1296099665108
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1296099665123
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296099665482
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099668540
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099671570
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296099677437
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099679902
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099682619
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296099689953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099691809
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099693308
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296099696195
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099698769
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099700768
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296099702953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099704825
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099716583
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296099721171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099722981
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099730422
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099731249
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099732450
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296099732606
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1296099732840
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1296099732965
