what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296168784784
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296168789854
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296168992062
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296168997225
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296169005261
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296169007524
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296169150294
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296169151745
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296169153165
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296169153336
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1296169153555
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1296169153679
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1296169153711
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1296169153711
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1296169153711
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1296169153711
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1296169153711
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1296169153711
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1296169153711
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1296169153711
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1296169153711
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1296169153711
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1296169153711
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1296169153726
stopped,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1296169153726
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1296169153742
stopped,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1296169153742
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1296169153742
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1296169153742
